mode,question_id,rank,evidence_id,evidence_type,source,matched_fact_ids,text
bm25,Q01,16,chunk:GSE111619_HTSeq_counts.txt:101:974f8ca28a15,document_chunk,GSE111619_HTSeq_counts.txt,[],TSPER4	5	4	2	3 CATSPERB	18	18	50	64 CATSPERD	1	0	0	0 CATSPERG	25	27	45	47 CAV1	15034	14646	3280	3349 CAV2	7905	7792	4205	4240 CAV3	0	0	0	0 CBFA2T2	1843	1869	2208	1885 CBFA2T3	100	102	6	6 CBFB	3645	3367	1951	2045 CBL	4724	4242	4016	3845 CBLB	1544	1444	1905	1687 CBLC	704	652	652	640 CBLL1	2409	2274	1836	1769 CBLN1	0	0	0	0 CBLN2	0	0	0	0 CBLN3	82	104	284	186 CBLN4	0	0	0	0 CBR1	4513	4246	3790	3699 CBR3	379	345	179	145 CBR3-AS1	130	119	384	343 CBR4	3313	3054	3430	3484 CBS	859	878	217	199 CBWD1	2494	24
bm25,Q01,17,chunk:GSE111619_HTSeq_counts.txt:102:831020591730,document_chunk,GSE111619_HTSeq_counts.txt,[],CBWD6	255	245	162	145 CBX1	5585	5450	3623	3503 CBX2	1331	1466	810	739 CBX3	25541	24904	17125	17332 CBX3P2	43	45	86	78 CBX4	2363	2340	3220	3020 CBX5	13330	12326	7088	6987 CBX6	1332	1272	1189	1101 CBX7	520	454	541	486 CBX8	785	738	747	704 CBY1	779	747	735	721 CBY3	0	0	0	0 CC2D1A	3024	2876	3450	3197 CC2D1B	2376	2304	1980	1908 CC2D2A	810	785	548	517 CC2D2B	0	2	1	3 CCAR1	10547	10366	9174	9040 CCAR2	4146	4033	3428	3312 CCAT1	0	1	0	0 CCAT2	3	2	1	1 CCBE1	144	161	329	338 CCBL1	487	453	369	334 CCBL2	1719	
bm25,Q01,18,chunk:GSE111619_HTSeq_counts.txt:103:959629736e1e,document_chunk,GSE111619_HTSeq_counts.txt,[],15	12 CCDC103	178	181	160	147 CCDC104	1810	1719	1564	1548 CCDC105	0	0	0	0 CCDC106	214	233	238	243 CCDC107	508	437	718	650 CCDC108	0	6	7	6 CCDC109B	1638	1507	1098	1178 CCDC11	77	84	83	74 CCDC110	3	6	5	4 CCDC112	354	325	294	265 CCDC113	854	875	942	875 CCDC114	3	8	7	4 CCDC115	1726	1653	1614	1612 CCDC116	8	16	2	2 CCDC117	1734	1699	1676	1653 CCDC12	1062	1034	1004	966 CCDC120	2897	3094	2956	2735 CCDC121	266	257	235	224 CCDC122	370	342	369	354 CCDC124	1971	1944	1507	1604 CCDC125	811	761	806	825 CCDC126
bm25,Q01,19,chunk:GSE111619_HTSeq_counts.txt:104:6b75d48d1c61,document_chunk,GSE111619_HTSeq_counts.txt,[],DC13-AS1	0	0	0	0 CCDC130	921	875	1010	848 CCDC132	1895	1979	1644	1597 CCDC134	322	260	320	298 CCDC135	0	0	0	0 CCDC136	210	204	107	96 CCDC137	1629	1603	1340	1356 CCDC138	759	766	402	393 CCDC14	3725	3824	2334	2167 CCDC140	0	0	0	0 CCDC141	4	3	4	5 CCDC142	576	559	605	569 CCDC144A	68	89	102	90 CCDC144B	745	665	741	652 CCDC144CP	280	294	281	266 CCDC144NL	0	0	0	0 CCDC146	26	30	21	23 CCDC147	46	43	30	33 CCDC147-AS1	1	0	1	1 CCDC148	23	11	16	20 CCDC148-AS1	0	0	0	1 CCDC149	570	561	695	708 CCDC15	586	567	24
bm25,Q01,20,chunk:GSE111619_HTSeq_counts.txt:105:997661cff060,document_chunk,GSE111619_HTSeq_counts.txt,[],4 CCDC154	103	114	145	145 CCDC155	0	0	0	0 CCDC157	86	80	116	87 CCDC158	8	9	3	2 CCDC159	109	114	252	230 CCDC160	14	21	52	66 CCDC162P	201	226	184	157 CCDC163P	262	220	129	128 CCDC166	0	0	1	0 CCDC167	739	740	538	551 CCDC168	6	7	5	4 CCDC169	78	83	67	57 CCDC169-SOHLH2	7	5	1	3 CCDC17	78	97	59	63 CCDC170	21	7	15	8 CCDC171	159	160	126	134 CCDC172	0	0	0	0 CCDC173	4	3	2	1 CCDC174	999	1005	1011	995 CCDC175	0	0	0	0 CCDC176	163	170	357	345 CCDC177	3	0	3	5 CCDC178	1	2	2	1 CCDC179	0	0	0	0 CCDC18	999	939	249	26
vector,Q01,1,chunk:GSE111619_family.soft:35:a3b6b9cab079,document_chunk,GSE111619_family.soft,[],cDNA !Sample_library_source = transcriptomic !Sample_library_strategy = RNA-Seq !Sample_relation = BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667769 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777459 !Sample_supplementary_file_1 = NONE !Sample_series_id = GSE111619 !Sample_series_id = GSE111635 !Sample_data_row_count = 0
vector,Q01,2,chunk:GSE111619_family.soft:19:babb5501a21a,document_chunk,GSE111619_family.soft,[],"rm_id = GPL16791 !Sample_contact_name = Matthew,D,Galbraith !Sample_contact_department = Department of Pharmacology; Linda Crnic Institute for Down Syndrome !Sample_contact_institute = University of Colorado Anschutz Medical Campus !Sample_contact_address = 12800 E. 19th Ave. !Sample_contact_city = Aurora !Sample_contact_state = CO !Sample_contact_zip/postal_code = 80045 !Sample_contact_country = USA !Sample_instrument_model = Illumina HiSeq 2500 !Sample_library_selection = cDNA !Sample_library_"
vector,Q01,3,chunk:GSE111619_family.soft:12:70d15f8f2b25,document_chunk,GSE111619_family.soft,"[""Q01:F02""]",80045 !Sample_contact_country = USA !Sample_instrument_model = Illumina HiSeq 2500 !Sample_library_selection = cDNA !Sample_library_source = transcriptomic !Sample_library_strategy = RNA-Seq !Sample_relation = BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667775 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777456 !Sample_supplementary_file_1 = NONE !Sample_series_id = GSE111619 !Sample_series_id = GSE111635 !Sample_data_row_count = 0 ^SAMPLE = GSM3035186 !Sample_ti
vector,Q01,4,chunk:GSE111619_family.soft:26:daada7b1edf2,document_chunk,GSE111619_family.soft,[],"html) !Sample_data_processing = Genome_build: GRCh37/hg19; Bowtie2 index and GTF from iGenomes UCSC hg19 bundle (https://support.illumina.com/sequencing/sequencing_software/igenome.html) !Sample_data_processing = Supplementary_files_format_and_content: Tab delimited text files containing raw gene-level counts for each sample !Sample_platform_id = GPL16791 !Sample_contact_name = Matthew,D,Galbraith !Sample_contact_department = Department of Pharmacology; Linda Crnic Institute for Down Syndrome !S"
vector,Q01,5,chunk:GSE111619_series_matrix.txt:3:a3a0d21a74c2,document_chunk,GSE111619_series_matrix.txt,[],"ntact_state	""CO"" !Series_contact_zip/postal_code	""80045"" !Series_contact_country	""USA"" !Series_supplementary_file	""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111619/suppl/GSE111619_RNAseq_H226_shp63_analysis_HTSeq_counts.txt.gz"" !Series_platform_id	""GPL16791"" !Series_platform_taxid	""9606"" !Series_sample_taxid	""9606"" !Series_relation	""SubSeries of: GSE111635"" !Series_relation	""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437576"" !Series_relation	""SRA: https://www.ncbi.nlm.nih."
vector,Q01,6,chunk:GSE111619_series_matrix.txt:23:07049a428c04,document_chunk,GSE111619_series_matrix.txt,[],"quencing_software/igenome.html)""	""Genome_build: GRCh37/hg19; Bowtie2 index and GTF from iGenomes UCSC hg19 bundle (https://support.illumina.com/sequencing/sequencing_software/igenome.html)"" !Sample_data_processing	""Supplementary_files_format_and_content: Tab delimited text files containing raw gene-level counts for each sample""	""Supplementary_files_format_and_content: Tab delimited text files containing raw gene-level counts for each sample""	""Supplementary_files_format_and_content: Tab delimited"
vector,Q01,7,chunk:GSE111619_family.soft:4:00eb8f492584,document_chunk,GSE111619_family.soft,[],sample_taxid = 9606 !Series_relation = SubSeries of: GSE111635 !Series_relation = BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437576 !Series_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP134235 ^PLATFORM = GPL16791 !Platform_title = Illumina HiSeq 2500 (Homo sapiens) !Platform_geo_accession = GPL16791 !Platform_status = Public on Mar 14 2013 !Platform_submission_date = Mar 14 2013 !Platform_last_update_date = Mar 27 2019 !Platform_technology = high-throughput sequencing !
vector,Q01,8,chunk:GSE111619_family.soft:20:9af496ac6e9a,document_chunk,GSE111619_family.soft,"[""Q01:F03""]","oSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667774 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777457 !Sample_supplementary_file_1 = NONE !Sample_series_id = GSE111619 !Sample_series_id = GSE111635 !Sample_data_row_count = 0 ^SAMPLE = GSM3035187 !Sample_title = H226 shp63, 6 days doxycycline, replicate 1 !Sample_geo_accession = GSM3035187 !Sample_status = Public on Aug 27 2018 !Sample_submission_date = Mar 09 2018 !Sample_last_update_date = Aug 27 2018 !Sample_typ"
vector,Q01,9,chunk:GSE111619_HTSeq_counts.txt:756:039879213880,document_chunk,GSE111619_HTSeq_counts.txt,[],C	3	2	1	2 SNORD15A	8	4	3	4 SNORD15B	5	10	4	9 SNORD16	4	9	3	2 SNORD17	4	5	1	0 SNORD18A	2	1	1	1 SNORD18B	13	8	5	6 SNORD18C	32	20	25	16 SNORD19	5	5	4	5 SNORD19B	11	11	7	10 SNORD1A	9	21	3	7 SNORD1B	8	8	1	5 SNORD1C	20	17	11	10 SNORD2	38	58	34	32 SNORD20	4	9	9	3 SNORD21	7	4	6	3 SNORD22	84	97	44	39 SNORD23	15	13	12	8 SNORD24	9	15	5	1 SNORD25	136	123	61	55 SNORD26	36	35	12	19 SNORD27	32	28	18	28 SNORD28	46	60	39	22 SNORD29	25	44	26	23 SNORD30	29	50	19	25 SNORD31	181	181	109	105 SNORD32A	13	13	5	5 SNORD3
vector,Q01,10,chunk:GSE111619_family.soft:33:887d9b8483f9,document_chunk,GSE111619_family.soft,[],C (v2.6) !Sample_data_processing = Raw gene-level count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty) using the GTF provided in the UCSC hg19-based igenomes bundle (https://support.illumina.com/sequencing/sequencing_software/igenome.html) !Sample_data_processing = Genome_build: GRCh37/hg19; Bowtie2 index and GTF from iGenomes UCSC hg19 bundle (https://support.illumina.com/sequencing/sequen
vector,Q01,11,chunk:GSE111619_series_matrix.txt:24:0a2f3ebf264b,document_chunk,GSE111619_series_matrix.txt,[],"es_format_and_content: Tab delimited text files containing raw gene-level counts for each sample"" !Sample_platform_id	""GPL16791""	""GPL16791""	""GPL16791""	""GPL16791"" !Sample_contact_name	""Matthew,D,Galbraith""	""Matthew,D,Galbraith""	""Matthew,D,Galbraith""	""Matthew,D,Galbraith"" !Sample_contact_department	""Department of Pharmacology; Linda Crnic Institute for Down Syndrome""	""Department of Pharmacology; Linda Crnic Institute for Down Syndrome""	""Department of Pharmacology; Linda Crnic Institute for Down Sy"
vector,Q01,12,chunk:GSE111619_family.soft:11:2434caed467b,document_chunk,GSE111619_family.soft,[],"illumina.com/sequencing/sequencing_software/igenome.html) !Sample_data_processing = Supplementary_files_format_and_content: Tab delimited text files containing raw gene-level counts for each sample !Sample_platform_id = GPL16791 !Sample_contact_name = Matthew,D,Galbraith !Sample_contact_department = Department of Pharmacology; Linda Crnic Institute for Down Syndrome !Sample_contact_institute = University of Colorado Anschutz Medical Campus !Sample_contact_address = 12800 E. 19th Ave. !Sample_con"
vector,Q01,13,chunk:GSE111619_family.soft:27:0811d4a4f618,document_chunk,GSE111619_family.soft,"[""Q01:F04""]",_contact_address = 12800 E. 19th Ave. !Sample_contact_city = Aurora !Sample_contact_state = CO !Sample_contact_zip/postal_code = 80045 !Sample_contact_country = USA !Sample_instrument_model = Illumina HiSeq 2500 !Sample_library_selection = cDNA !Sample_library_source = transcriptomic !Sample_library_strategy = RNA-Seq !Sample_relation = BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08667770 !Sample_relation = SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777458 !Sample_supplementary_fil
vector,Q01,14,chunk:GSE111619_HTSeq_counts.txt:526:93f13343db83,document_chunk,GSE111619_HTSeq_counts.txt,[],OH7-TTC4	4	1	8	0 MROH8	367	366	490	480 MROH9	0	0	0	0 MRPL1	1896	1859	1361	1388 MRPL10	1847	1879	1553	1546 MRPL11	2607	2550	1429	1487 MRPL12	5717	5512	4847	4959 MRPL13	5800	5384	4534	4584 MRPL14	3856	3657	2833	2802 MRPL15	2694	2537	2788	3028 MRPL16	3263	3003	2792	2867 MRPL17	3052	3023	2408	2526 MRPL18	2067	1975	1551	1522 MRPL19	5676	5165	4358	4437 MRPL2	2660	2525	2369	2389 MRPL20	1584	1596	1467	1466 MRPL21	1878	1877	1529	1619 MRPL22	1605	1544	1422	1412 MRPL23	2450	2408	1902	1833 MRPL23-AS1	2	9	3	
vector,Q01,15,chunk:GSE111619_HTSeq_counts.txt:824:e1a36538002a,document_chunk,GSE111619_HTSeq_counts.txt,[],SS4-AS1	0	0	1	0 TMPRSS5	22	20	25	14 TMPRSS6	57	58	427	341 TMPRSS7	10	15	10	8 TMPRSS9	1	2	1	0 TMSB10	15477	14288	17043	16672 TMSB15A	1	1	1	1 TMSB15B	90	93	62	59 TMSB4X	14025	13976	46588	48432 TMSB4Y	0	0	0	0 TMTC1	3	2	3	3 TMTC2	1250	1225	2849	2547 TMTC3	5281	4832	3560	3430 TMTC4	1363	1378	1612	1521 TMUB1	1471	1577	1765	1685 TMUB2	1803	1789	1940	1747 TMX1	5706	5275	4700	4730 TMX2	11902	11272	13370	13117 TMX2-CTNND1	3	3	0	1 TMX3	6672	6333	5731	5683 TMX4	1819	1741	1907	1925 TNC	200	172	28	37 TNF	37	5
vector,Q01,16,chunk:GSE111619_HTSeq_counts.txt:295:260f02e96e2a,document_chunk,GSE111619_HTSeq_counts.txt,[],T1H2BB	0	1	1	2 HIST1H2BC	39	29	32	32 HIST1H2BD	191	121	272	264 HIST1H2BE	0	1	0	1 HIST1H2BF	6	8	4	4 HIST1H2BG	7	19	7	4 HIST1H2BH	22	24	12	16 HIST1H2BI	2	0	1	0 HIST1H2BJ	38	47	25	31 HIST1H2BK	699	692	681	646 HIST1H2BL	9	5	9	2 HIST1H2BM	2	1	0	0 HIST1H2BN	18	24	13	9 HIST1H2BO	3	7	2	0 HIST1H3A	4	3	3	1 HIST1H3B	4	8	3	4 HIST1H3C	3	5	3	2 HIST1H3D	2	7	5	4 HIST1H3E	73	69	82	116 HIST1H3F	1	4	0	0 HIST1H3G	20	37	11	6 HIST1H3H	30	28	8	20 HIST1H3I	1	0	0	0 HIST1H3J	6	5	1	4 HIST1H4A	0	2	0	1 HIST1H4B	0	0	1	3 HIST
vector,Q01,17,chunk:GSE111619_HTSeq_counts.txt:689:db5f4e8fe2ad,document_chunk,GSE111619_HTSeq_counts.txt,[],L31P11	1	1	0	1 RPL32	32866	31170	18471	18604 RPL32P3	174	203	183	180 RPL34	12863	12474	8611	8964 RPL34-AS1	2	2	1	0 RPL35	21856	20156	12544	13001 RPL35A	15699	15139	9729	9838 RPL36	14080	13114	9202	9182 RPL36A	4524	4343	2197	2181 RPL36A-HNRNPH2	4	2	1	1 RPL36AL	8201	7943	7497	7651 RPL37	51314	50532	33283	33441 RPL37A	30794	29079	21428	21156 RPL38	10751	10438	7928	7878 RPL39	22841	21836	13482	14056 RPL39L	0	1	0	0 RPL3L	1	0	0	0 RPL4	99780	94322	60544	59953 RPL41	66320	64087	48205	47846 RPL5	43887	41
vector,Q01,18,chunk:GSE111619_HTSeq_counts.txt:749:2b3a0018a2de,document_chunk,GSE111619_HTSeq_counts.txt,[],ORA37	2	0	0	1 SNORA38	0	0	1	1 SNORA38B	5	5	3	1 SNORA4	22	31	16	14 SNORA40	419	453	216	184 SNORA41	10	11	12	13 SNORA43	0	0	0	0 SNORA44	9	4	12	18 SNORA45A	30	27	27	18 SNORA45B	25	30	14	19 SNORA46	2	2	3	2 SNORA47	6	5	4	6 SNORA48	19	13	11	16 SNORA49	0	3	0	0 SNORA51	5	6	7	6 SNORA52	18	12	14	10 SNORA53	20	8	3	10 SNORA54	1	1	1	2 SNORA55	13	11	6	10 SNORA56	0	0	0	0 SNORA57	16	18	11	18 SNORA58	3	3	1	1 SNORA59A	0	0	0	0 SNORA59B	0	0	0	0 SNORA5A	14	11	10	8 SNORA5B	15	13	4	11 SNORA5C	29	28	17	23 SNORA6	38	35	
vector,Q01,19,chunk:GSE111619_series_matrix.txt:27:426a10e70046,document_chunk,GSE111619_series_matrix.txt,"[""Q01:F01"", ""Q01:F02"", ""Q01:F03"", ""Q01:F04""]","ple/SAMN08667769"" !Sample_relation	""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777456""	""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777457""	""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777458""	""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3777459"" !Sample_supplementary_file_1	""NONE""	""NONE""	""NONE""	""NONE"" !series_matrix_table_begin ""ID_REF""	""GSM3035185""	""GSM3035186""	""GSM3035187""	""GSM3035188"" !series_matrix_table_end"
