GeneID	NonTargeting_rep1	NonTargeting_rep2	p63KD_rep1	p63KD_rep2
LOC100287010	0	0	0	0
LOC100287015	70	64	33	27
LOC100287036	0	2	3	0
LOC100287042	144	158	77	77
LOC100287072	1	1	1	3
LOC100287098	14	14	36	39
LOC100287225	0	4	3	1
LOC100287592	0	0	0	0
LOC100287632	5	1	3	8
LOC100287704	0	0	0	0
LOC100287728	0	0	0	0
LOC100287792	1	0	0	0
LOC100287834	0	0	0	0
LOC100287846	10	14	9	12
LOC100287944	1	0	0	0
LOC100288069	821	844	765	706
LOC100288123	0	2	0	0
LOC100288162	2	0	0	3
LOC100288181	57	57	121	121
LOC100288570	0	0	0	0
LOC100288637	882	907	273	266
LOC100288748	136	133	120	87
LOC100288778	473	475	509	439
LOC100288814	1	0	0	0
LOC100288842	115	107	67	82
LOC100288846	13	7	18	12
LOC100288866	1	4	0	1
LOC100288911	70	67	77	81
LOC100288966	0	0	0	0
LOC100288974	4	8	4	10
LOC100289019	1117	1262	1721	1370
LOC100289092	28	28	27	28
LOC100289230	71	80	60	47
LOC100289333	0	0	0	3
LOC100289361	10	21	15	11
LOC100289473	20	19	39	35
LOC100289495	36	41	34	44
LOC100289511	8	8	5	7
LOC100289561	16	27	26	27
LOC100289580	1	2	1	2
LOC100289650	0	0	1	1
LOC100289656	0	0	0	0
LOC100289673	0	0	0	0
LOC100294145	2938	2826	1572	1665
LOC100294362	7	14	10	9
LOC100303749	0	0	0	0
LOC100335030	6	5	1	2
LOC100379224	12	10	9	15
LOC100420587	1	0	0	0
LOC100422212	0	0	0	0
LOC100422556	1	2	0	1
LOC100422737	1	0	0	0
LOC100499194	0	0	0	0
LOC100499484	77	102	49	57
LOC100499484-C9ORF174	2	9	6	9
LOC100499489	5	6	12	5
LOC100500773	0	0	0	0
LOC100505474	0	0	0	0
LOC100505478	0	0	0	0
LOC100505515	0	0	0	0
LOC100505540	0	0	0	0
LOC100505549	70	50	31	31
LOC100505592	1	1	9	6
LOC100505622	0	0	0	0
LOC100505625	23	12	32	18
LOC100505658	0	0	0	0
LOC100505666	109	106	195	200
LOC100505683	1	7	5	6
LOC100505715	0	2	1	1
LOC100505716	0	0	0	0
LOC100505718	1	0	0	0
LOC100505736	0	0	0	0
LOC100505739	0	0	0	0
LOC100505776	0	0	0	0
LOC100505782	0	0	0	0
LOC100505795	0	0	0	0
LOC100505811	2	1	2	2
LOC100505812	71	73	97	114
LOC100505817	2	0	1	1
LOC100505835	0	0	0	0
LOC100505841	0	0	2	0
LOC100505878	0	0	0	0
LOC100505887	0	0	0	0
LOC100505912	6	5	6	13
LOC100505918	0	0	0	1
LOC100505921	10	6	13	8
LOC100505942	24	19	31	35
LOC100505978	2	0	0	0
LOC100505984	0	0	0	1
LOC100506022	4	3	6	5
LOC100506023	37	37	25	28
LOC100506071	0	1	0	2
LOC100506076	0	0	1	0
LOC100506082	1	1	3	1
LOC100506083	32	20	21	26
LOC100506085	3	2	1	1
LOC100506100	121	99	83	90
LOC100506122	0	0	0	0
LOC100506123	198	221	421	360
LOC100506124	15	12	38	34
LOC100506125	3	5	2	3
LOC100506127	124	117	112	74
LOC100506136	11	11	11	17
LOC100506142	0	0	0	1
LOC100506159	0	0	0	0
LOC100506172	0	0	0	0
LOC100506175	2	1	97	77
LOC100506178	0	0	2	2
LOC100506188	0	0	0	0
LOC100506207	15	21	36	44
LOC100506258	8	14	19	8
LOC100506271	19	22	45	40
LOC100506272	1	0	0	1
LOC100506274	0	0	0	0
LOC100506281	0	0	0	0
LOC100506299	20	19	30	25
LOC100506314	168	155	59	59
LOC100506321	0	1	0	0
LOC100506325	36	39	38	35
LOC100506368	6	2	2	15
LOC100506371	0	0	0	0
LOC100506384	0	0	0	0
LOC100506385	2	0	10	6
LOC100506388	1	0	0	0
LOC100506393	0	0	0	0
LOC100506403	0	0	0	0
LOC100506406	0	0	0	0
LOC100506422	0	0	0	0
LOC100506457	0	0	0	0
LOC100506469	392	417	338	264
LOC100506470	0	0	0	0
LOC100506472	55	31	49	30
LOC100506474	0	0	0	0
LOC100506476	57	44	59	81
LOC100506497	1	1	0	0
LOC100506499	78	51	35	39
LOC100506526	0	0	0	0
LOC100506548	1868	1783	1483	1390
LOC100506551	0	0	0	1
LOC100506585	0	0	0	0
LOC100506603	280	305	382	360
LOC100506606	35	27	41	40
LOC100506639	299	297	282	233
LOC100506655	0	0	1	0
LOC100506674	39	36	17	22
LOC100506675	4	6	5	4
LOC100506682	0	0	0	0
LOC100506688	12	11	38	31
LOC100506700	0	0	0	0
LOC100506710	4252	4155	4294	4108
LOC100506713	38	48	58	41
LOC100506725	0	0	0	0
LOC100506730	149	146	115	141
LOC100506746	139	104	183	161
LOC100506747	0	0	0	0
LOC100506787	0	1	0	0
LOC100506790	0	0	0	0
LOC100506801	2	3	3	3
LOC100506804	22	32	14	25
LOC100506834	39	30	16	17
LOC100506844	66	55	66	75
LOC100506858	0	0	0	0
LOC100506860	3	6	13	10
LOC100506895	21	22	8	7
LOC100506985	0	0	0	0
LOC100506990	135	114	95	100
LOC100507002	38	18	9	5
LOC100507006	7	3	3	2
LOC100507053	37	27	14	13
LOC100507065	0	0	1	0
LOC100507073	5	1	0	3
LOC100507091	0	0	0	0
LOC100507140	3	9	15	7
LOC100507144	16	23	32	25
LOC100507156	0	0	0	1
LOC100507175	0	2	0	0
LOC100507194	0	0	0	0
LOC100507195	0	0	0	2
LOC100507201	0	0	0	0
LOC100507205	0	0	0	0
LOC100507217	2727	2700	2784	2906
LOC100507250	5	7	2	1
LOC100507283	41	40	43	65
LOC100507334	0	1	0	0
LOC100507346	0	0	0	0
LOC100507351	1	2	2	0
LOC100507373	76	77	60	50
LOC100507377	0	0	0	0
LOC100507384	0	0	0	0
LOC100507387	1	0	0	0
LOC100507389	0	0	0	0
LOC100507391	17	21	36	40
LOC100507412	0	0	0	0
LOC100507424	80	76	103	91
LOC100507443	0	0	0	0
LOC100507459	174	142	166	201
LOC100507462	98	93	93	78
LOC100507468	0	0	0	0
LOC100507472	24	25	19	18
LOC100507501	41	59	72	53
LOC100507506	16	13	18	14
LOC100507534	0	0	1	0
LOC100507537	13	10	8	3
LOC100507540	0	0	2	1
LOC100507547	172	206	122	134
LOC100507557	35	22	96	94
LOC100507564	27	37	53	51
LOC100507577	127	122	220	244
LOC100507600	0	0	0	0
LOC100507634	48	37	44	32
LOC100507642	1195	1126	1809	1689
LOC100507651	1	1	0	3
LOC100507661	0	0	0	0
LOC100508046	0	0	0	0
LOC100630918	71	83	48	64
LOC100630923	73	91	164	121
LOC100631378	0	0	0	0
LOC100652758	167	173	310	375
LOC100652768	98	83	150	146
LOC100652770	0	0	0	0
LOC100652824	0	0	0	0
LOC100652931	0	0	0	0
LOC100652999	0	0	0	0
LOC100653515	1	2	3	4
LOC100862671	1076	1052	1434	1454
LOC100996249	0	0	0	0
LOC100996251	1	3	4	2
LOC100996255	64	82	95	88
LOC100996266	1	0	0	1
LOC100996291	0	0	0	1
LOC100996324	0	1	1	5
LOC100996325	3	3	0	0
LOC100996342	0	0	0	0
LOC100996349	0	0	0	0
LOC100996351	0	1	0	1
LOC100996385	0	0	0	0
LOC100996437	32	29	31	26
LOC100996447	0	0	0	0
LOC100996455	51	40	16	11
LOC100996579	489	526	285	304
LOC100996590	0	0	1	0
LOC100996609	0	0	0	0
LOC100996634	581	571	347	290
LOC100996635	0	0	0	0
LOC100996654	0	0	0	2
LOC100996669	0	0	0	0
LOC100996671	0	0	0	0
LOC100996679	0	0	0	0
LOC100996693	3	2	4	2
LOC100996758	0	0	0	0
LOC100996876	0	0	0	0
LOC101054525	0	0	0	0
LOC101059948	7	11	17	31
LOC101060004	0	0	0	0
LOC101060019	0	0	1	0
LOC101060091	4	2	2	0
LOC101060211	0	0	0	0
LOC101060321	0	0	0	0
LOC101060351	0	0	0	0
LOC101060376	0	0	0	0
LOC101060385	0	0	0	0
LOC101060389	0	0	0	0
LOC101060524	0	0	0	0
LOC101060542	0	2	3	2
LOC101060553	12	14	9	5
LOC101241902	3	1	1	0
LOC101243545	1	1	0	0
LOC101409256	0	8	6	7
LOC101448202	0	0	1	0
LOC101559451	6	13	4	6
LOC101593348	3	3	2	2
LOC101805491	0	0	0	0
LOC101926888	75	78	66	55
LOC101926889	6	4	7	7
LOC101926892	0	0	0	0
LOC101926895	4	9	2	6
LOC101926896	0	1	0	0
LOC101926897	0	0	0	0
LOC101926905	0	0	0	0
LOC101926908	0	0	0	0
LOC101926911	16	24	13	9
LOC101926913	2	1	1	3
LOC101926924	0	0	0	0
LOC101926928	0	1	3	1
LOC101926933	1	2	1	2
LOC101926935	7	7	4	6
LOC101926940	0	0	1	0
LOC101926942	1	0	0	0
LOC101926943	1	1	0	0
LOC101926944	0	2	0	3
LOC101926950	0	0	0	0
LOC101926955	0	0	1	0
LOC101926960	0	0	0	0
LOC101926962	0	0	0	0
LOC101926963	0	0	0	0
LOC101926964	0	0	0	0
LOC101926966	0	0	0	0
LOC101926975	0	0	0	0
LOC101926987	6	4	1	4
LOC101926996	153	168	265	250
LOC101927015	0	0	0	0
LOC101927018	0	1	0	0
LOC101927021	222	183	241	187
LOC101927023	6	3	4	7
LOC101927027	309	349	202	221
LOC101927040	0	3	3	1
LOC101927043	0	0	1	0
LOC101927045	230	220	197	202
LOC101927048	0	0	0	0
LOC101927051	1	2	1	1
LOC101927053	0	0	0	0
LOC101927058	0	0	0	0
LOC101927062	0	0	0	0
LOC101927069	1	0	3	1
LOC101927079	2	0	0	0
LOC101927081	0	0	0	0
LOC101927087	1	3	6	5
LOC101927100	0	5	1	1
LOC101927102	2	2	12	8
LOC101927112	0	0	0	0
LOC101927117	9	12	6	10
LOC101927120	0	0	0	0
LOC101927123	1	0	2	3
LOC101927124	10	15	13	13
LOC101927129	0	0	0	0
LOC101927131	0	0	0	0
LOC101927132	0	1	1	1
LOC101927134	0	2	0	0
LOC101927136	15	13	3	3
LOC101927142	0	0	0	0
LOC101927143	0	0	0	0
LOC101927150	0	0	0	0
LOC101927151	370	370	299	274
LOC101927153	0	0	0	0
LOC101927159	0	0	0	0
LOC101927164	0	0	0	0
LOC101927166	0	0	0	0
LOC101927178	5	7	14	15
LOC101927181	117	75	177	171
LOC101927190	0	0	0	2
LOC101927196	0	0	0	0
LOC101927204	477	476	395	372
LOC101927207	0	0	0	0
LOC101927211	2	0	3	2
LOC101927217	21	15	22	22
LOC101927229	0	0	0	0
LOC101927230	0	0	0	0
LOC101927237	4	2	2	1
LOC101927239	0	0	0	0
LOC101927242	0	0	0	0
LOC101927243	0	0	1	1
LOC101927248	0	0	0	0
LOC101927257	0	0	0	1
LOC101927267	0	0	0	0
LOC101927269	0	0	0	0
LOC101927272	1	4	2	2
LOC101927273	0	0	0	0
LOC101927274	0	3	0	1
LOC101927275	16	16	16	11
LOC101927280	1	0	0	1
LOC101927282	5	5	4	0
LOC101927284	0	3	2	2
LOC101927285	0	0	0	0
LOC101927286	0	0	0	0
LOC101927292	0	0	0	0
LOC101927310	0	0	0	0
LOC101927311	0	0	0	0
LOC101927314	1	0	0	0
LOC101927318	4	0	14	19
LOC101927322	14	23	8	10
LOC101927323	34	35	44	39
LOC101927332	0	0	0	0
LOC101927334	0	0	0	0
LOC101927347	0	0	0	0
LOC101927348	0	0	0	0
LOC101927354	2	3	9	7
LOC101927356	0	0	0	0
LOC101927364	0	0	0	0
LOC101927374	36	38	41	33
LOC101927378	0	0	0	0
LOC101927379	0	0	0	0
LOC101927391	130	133	224	201
LOC101927394	0	1	0	0
LOC101927406	0	0	0	0
LOC101927410	0	0	0	0
LOC101927411	0	0	0	0
LOC101927415	39	48	25	27
LOC101927418	0	0	0	0
LOC101927421	0	0	1	0
LOC101927431	0	0	0	0
LOC101927437	0	0	0	0
LOC101927438	0	2	2	0
LOC101927446	0	0	0	0
LOC101927450	0	0	0	0
LOC101927457	0	0	1	0
LOC101927460	0	0	0	0
LOC101927464	0	0	0	0
LOC101927468	9	11	6	8
LOC101927476	48	43	185	165
LOC101927478	0	0	0	1
LOC101927482	0	0	0	2
LOC101927488	0	0	0	0
LOC101927492	1	2	2	2
LOC101927495	2	0	0	0
LOC101927497	16	23	12	8
LOC101927501	16	11	2	3
LOC101927502	0	0	1	1
LOC101927524	0	0	0	0
LOC101927526	0	0	0	0
LOC101927539	0	0	0	0
LOC101927550	66	40	78	70
LOC101927557	0	0	0	0
LOC101927560	0	4	2	1
LOC101927571	7	11	21	11
LOC101927572	26	20	19	16
LOC101927575	0	1	0	0
LOC101927577	0	0	1	0
LOC101927580	0	1	0	0
LOC101927583	0	0	0	0
LOC101927587	0	0	1	0
LOC101927592	0	1	0	0
LOC101927599	120	128	114	109
LOC101927604	10	10	7	5
LOC101927616	0	1	0	0
LOC101927619	1	1	0	1
LOC101927620	0	0	0	0
LOC101927621	47	48	34	38
LOC101927623	1	0	0	1
LOC101927630	1	0	4	0
LOC101927631	57	57	48	59
LOC101927637	0	0	0	0
LOC101927641	0	0	0	0
LOC101927642	0	1	0	0
LOC101927650	0	0	0	0
LOC101927651	0	0	0	0
LOC101927653	0	0	0	0
LOC101927661	0	0	0	0
LOC101927666	0	1	0	0
LOC101927667	0	0	0	0
LOC101927668	2	4	2	1
LOC101927678	0	0	0	0
LOC101927683	0	0	0	0
LOC101927688	3	2	3	3
LOC101927691	1	1	2	2
LOC101927694	0	0	0	0
LOC101927697	0	0	0	1
LOC101927698	1	5	5	3
LOC101927700	0	0	5	8
LOC101927701	0	0	0	0
LOC101927709	0	0	0	0
LOC101927718	13	20	26	31
LOC101927720	3	5	15	5
LOC101927722	0	0	0	0
LOC101927728	0	0	0	0
LOC101927730	0	0	0	0
LOC101927735	0	0	0	0
LOC101927740	0	1	1	0
LOC101927746	355	306	227	219
LOC101927750	3	0	0	0
LOC101927755	41	36	72	75
LOC101927766	0	0	0	0
LOC101927769	0	0	0	1
LOC101927770	1	1	1	0
LOC101927780	5	8	2	7
LOC101927795	7	3	9	7
LOC101927796	1	3	1	2
LOC101927797	1	6	9	3
LOC101927811	121	110	99	128
LOC101927814	0	0	0	0
LOC101927817	1	0	0	0
LOC101927821	0	0	0	0
LOC101927829	1	0	0	0
LOC101927830	0	0	0	0
LOC101927835	0	1	0	0
LOC101927839	0	0	0	0
LOC101927843	0	0	0	0
LOC101927844	0	0	1	0
LOC101927847	0	0	0	0
LOC101927865	11	10	27	16
LOC101927869	0	0	0	0
LOC101927870	0	0	0	0
LOC101927873	214	182	113	95
LOC101927881	20	15	7	3
LOC101927884	0	0	0	0
LOC101927900	0	0	1	0
LOC101927901	0	0	0	0
LOC101927905	0	0	0	0
LOC101927907	0	0	0	0
LOC101927911	3	5	21	21
LOC101927914	1	0	1	1
LOC101927917	0	0	0	0
LOC101927919	16	15	10	1
LOC101927921	0	0	0	0
LOC101927922	0	0	0	0
LOC101927924	0	0	0	0
LOC101927926	0	0	0	0
LOC101927931	4	0	4	2
LOC101927934	15	11	22	24
LOC101927948	0	0	0	0
LOC101927950	0	0	0	0
LOC101927967	0	0	0	0
LOC101927987	0	0	0	0
LOC101927990	0	0	0	0
LOC101928001	0	0	0	0
LOC101928002	6	3	3	2
LOC101928008	0	0	0	0
LOC101928009	0	0	0	0
LOC101928012	0	0	0	0
LOC101928020	25	19	30	25
LOC101928030	0	0	0	0
LOC101928035	0	0	0	0
LOC101928036	0	1	0	2
LOC101928043	0	1	1	1
LOC101928048	0	0	0	0
LOC101928053	12	9	5	3
LOC101928062	78	66	78	45
LOC101928063	18	17	24	26
LOC101928068	78	77	84	48
LOC101928075	3	0	9	6
LOC101928093	0	0	0	0
LOC101928100	56	35	12	20
LOC101928103	15	18	9	15
LOC101928104	0	0	0	0
LOC101928107	0	0	0	0
LOC101928113	0	0	0	0
LOC101928122	4	1	4	5
LOC101928128	0	0	0	0
LOC101928134	0	0	0	0
LOC101928135	0	0	0	0
LOC101928136	24	26	29	26
LOC101928137	7	9	2	9
LOC101928138	0	0	0	0
LOC101928154	1	0	2	0
LOC101928158	0	0	2	0
LOC101928161	0	0	0	0
LOC101928162	0	0	0	0
LOC101928163	0	0	0	0
LOC101928167	0	0	0	0
LOC101928168	0	0	0	0
LOC101928174	1	1	0	0
LOC101928200	0	0	0	0
LOC101928201	0	0	0	1
LOC101928203	0	0	0	0
LOC101928205	0	0	0	1
LOC101928211	0	0	0	0
LOC101928222	16	11	10	18
LOC101928227	0	0	0	0
LOC101928241	0	0	0	0
LOC101928243	30	33	40	21
LOC101928244	1	0	2	0
LOC101928248	0	0	2	0
LOC101928254	0	0	0	0
LOC101928259	1	0	1	1
LOC101928266	0	0	0	0
LOC101928269	0	0	0	0
LOC101928273	1	0	0	0
LOC101928283	0	0	0	0
LOC101928290	6	5	18	12
LOC101928292	16	12	27	17
LOC101928295	0	0	0	0
LOC101928303	5	7	7	5
LOC101928333	0	0	1	0
LOC101928335	0	1	0	0
LOC101928336	1	1	0	6
LOC101928340	0	0	0	0
LOC101928358	0	0	0	0
LOC101928363	0	3	3	3
LOC101928370	1	1	0	0
LOC101928371	2	1	0	0
LOC101928372	0	1	5	3
LOC101928378	285	342	360	248
LOC101928386	0	0	0	0
LOC101928388	4	6	4	4
LOC101928398	1	1	0	0
LOC101928401	1	0	0	0
LOC101928404	0	0	0	0
LOC101928414	0	0	0	0
LOC101928416	0	0	0	0
LOC101928417	0	0	0	0
LOC101928418	0	0	0	0
LOC101928420	0	0	0	0
LOC101928435	0	1	0	1
LOC101928436	0	1	0	1
LOC101928437	0	0	1	0
LOC101928438	4	2	2	8
LOC101928440	0	0	0	1
LOC101928441	1	1	0	1
LOC101928442	0	0	0	0
LOC101928443	0	0	0	0
LOC101928445	28	21	27	13
LOC101928446	2	1	0	0
LOC101928448	1	3	0	2
LOC101928449	0	0	0	0
LOC101928455	0	0	0	0
LOC101928460	0	0	0	0
LOC101928469	0	0	0	0
LOC101928471	0	0	0	0
LOC101928489	89	81	42	59
LOC101928491	0	0	0	0
LOC101928495	0	0	0	0
LOC101928505	6	4	1	4
LOC101928514	1	1	3	3
LOC101928516	0	0	0	0
LOC101928517	0	0	0	0
LOC101928519	1	0	2	1
LOC101928523	0	0	0	0
LOC101928530	2	2	6	3
LOC101928535	2	1	4	4
LOC101928536	0	0	0	0
LOC101928537	0	1	0	0
LOC101928539	0	1	0	0
LOC101928545	26	16	12	18
LOC101928559	0	0	0	0
LOC101928564	0	0	0	0
LOC101928567	0	0	0	0
LOC101928569	3	1	0	1
LOC101928571	0	0	0	2
LOC101928580	1	0	0	0
LOC101928597	0	0	1	0
LOC101928600	47	40	49	36
LOC101928604	0	0	0	0
LOC101928611	0	0	0	0
LOC101928618	0	0	0	0
LOC101928651	0	0	0	0
LOC101928663	0	0	0	0
LOC101928674	12	14	17	17
LOC101928682	0	0	0	0
LOC101928689	15	13	10	8
LOC101928694	0	2	4	1
LOC101928700	3	5	3	2
LOC101928708	0	0	0	0
LOC101928710	168	161	296	297
LOC101928730	0	0	0	0
LOC101928731	0	0	0	0
LOC101928736	61	57	51	50
LOC101928737	2	7	11	18
LOC101928738	27	28	26	32
LOC101928744	0	0	0	0
LOC101928748	0	0	0	0
LOC101928766	1	2	0	2
LOC101928767	20	15	7	6
LOC101928769	0	0	1	0
LOC101928773	0	0	1	0
LOC101928775	0	0	0	0
LOC101928778	0	0	0	0
LOC101928782	0	0	0	0
LOC101928784	24	22	16	22
LOC101928790	0	0	0	0
LOC101928791	0	0	0	0
LOC101928794	8	8	2	6
LOC101928795	0	0	0	0
LOC101928796	1	0	0	0
LOC101928797	0	0	0	0
LOC101928804	0	0	0	0
LOC101928812	3	3	3	4
LOC101928823	0	0	0	1
LOC101928837	41	33	9	16
LOC101928844	0	0	2	0
LOC101928847	0	0	2	0
LOC101928855	0	0	1	0
LOC101928861	0	0	0	0
LOC101928865	5	3	6	3
LOC101928869	0	0	0	0
LOC101928880	1	0	0	1
LOC101928882	0	2	0	0
LOC101928886	0	0	0	0
LOC101928891	98	118	162	142
LOC101928894	0	0	0	0
LOC101928896	1	0	4	2
LOC101928909	0	1	0	2
LOC101928911	0	0	0	0
LOC101928922	0	0	0	0
LOC101928936	97	95	114	93
LOC101928937	0	0	0	0
LOC101928940	4	6	3	3
LOC101928943	0	0	0	0
LOC101928961	0	0	0	0
LOC101928988	0	0	0	0
LOC101928992	1	1	0	1
LOC101929010	0	0	1	0
LOC101929034	0	0	0	0
LOC101929057	39	32	24	26
LOC101929059	0	0	0	0
LOC101929064	0	0	0	0
LOC101929076	1	0	0	0
LOC101929080	0	0	1	0
LOC101929084	0	0	0	0
LOC101929086	1	2	4	4
LOC101929099	25	30	14	22
LOC101929106	0	0	0	0
LOC101929124	0	0	0	0
LOC101929125	0	1	3	1
LOC101929140	24	28	8	18
LOC101929144	0	0	0	0
LOC101929148	0	0	0	0
LOC101929153	0	0	0	0
LOC101929154	0	0	0	0
LOC101929162	1	0	0	0
LOC101929164	0	0	0	0
LOC101929172	0	0	0	0
LOC101929173	0	1	5	1
LOC101929181	0	1	0	1
LOC101929196	0	0	0	0
LOC101929207	0	0	0	0
LOC101929217	0	0	0	0
LOC101929221	0	1	0	0
LOC101929224	16	23	4	5
LOC101929225	0	0	0	0
LOC101929231	9	7	10	3
LOC101929234	17	19	29	14
LOC101929239	0	0	0	0
LOC101929241	0	0	0	0
LOC101929259	1	1	2	1
LOC101929260	0	0	0	0
LOC101929265	0	1	0	0
LOC101929268	1	2	0	0
LOC101929282	0	0	0	0
LOC101929284	0	0	0	0
LOC101929295	9	12	16	30
LOC101929312	0	0	0	0
LOC101929319	0	0	0	0
LOC101929335	0	0	0	0
LOC101929344	0	0	1	2
LOC101929369	0	0	0	0
LOC101929371	0	0	0	0
LOC101929372	1	5	5	0
LOC101929374	0	0	0	1
LOC101929380	0	1	0	0
LOC101929384	0	0	0	0
LOC101929395	0	0	1	2
LOC101929406	0	0	0	0
LOC101929412	1	0	0	0
LOC101929413	0	0	0	0
LOC101929420	0	0	0	0
LOC101929427	0	0	0	1
LOC101929439	1	0	4	2
LOC101929452	0	0	0	0
LOC101929454	0	0	0	0
LOC101929478	0	0	0	0
LOC101929486	0	0	0	0
LOC101929505	1	0	1	0
LOC101929512	6	4	0	3
LOC101929524	8	1	5	6
LOC101929526	0	0	0	0
LOC101929528	0	0	0	0
LOC101929532	0	0	0	0
LOC101929539	2	2	0	1
LOC101929549	0	0	0	0
LOC101929551	0	0	0	0
LOC101929555	1	0	0	0
LOC101929567	245	260	326	268
LOC101929570	0	0	0	0
LOC101929572	0	0	0	0
LOC101929584	1	2	5	2
LOC101929586	0	0	1	0
LOC101929591	0	0	0	0
LOC101929596	4	6	5	7
LOC101929607	3	1	4	2
LOC101929608	1	0	0	0
LOC101929613	24	37	55	44
LOC101929625	0	0	0	0
LOC101929631	0	0	0	0
LOC101929633	4	4	0	1
LOC101929645	0	1	1	0
LOC101929653	0	0	0	0
LOC101929655	65	43	28	23
LOC101929657	0	1	0	2
LOC101929663	0	0	0	0
LOC101929664	1	0	1	0
LOC101929679	11	7	2	2
LOC101929680	1	1	1	0
LOC101929681	0	0	0	0
LOC101929685	0	0	0	0
LOC101929690	0	0	0	0
LOC101929694	0	0	2	3
LOC101929696	0	0	0	0
LOC101929698	1	0	0	1
LOC101929701	0	0	0	0
LOC101929715	2	0	3	1
LOC101929717	0	0	0	0
LOC101929718	8	4	10	4
LOC101929723	3	5	0	1
LOC101929733	0	0	0	0
LOC101929736	14	19	15	17
LOC101929743	0	0	0	0
LOC101929746	9	13	40	49
LOC101929753	0	0	0	0
LOC101929760	6	8	1	0
LOC101929765	1	6	3	8
LOC101929767	67	64	81	66
LOC101929829	0	0	0	0
LOC101930452	6	6	0	2
LOC102031319	0	0	0	0
LOC102060414	2	2	1	0
LOC102288414	452	402	355	409
LOC102467073	15	10	9	5
LOC102467074	0	0	0	0
LOC102467075	0	0	0	0
LOC102467079	0	0	0	0
LOC102467080	0	0	1	0
LOC102467081	1	1	0	3
LOC102467146	2	1	1	2
LOC102467147	2	4	1	2
LOC102467212	0	0	2	1
LOC102467213	0	0	0	0
LOC102467214	0	0	0	0
LOC102467216	0	0	0	0
LOC102467217	0	0	0	0
LOC102467223	0	0	0	0
LOC102467224	0	0	0	0
LOC102467225	0	0	0	0
LOC102467226	0	0	0	0
LOC102467655	0	0	0	0
LOC102477328	1	0	1	1
LOC102503427	0	0	0	0
LOC102546226	0	0	0	0
LOC102546228	0	0	0	0
LOC102546229	1	0	1	0
LOC102546294	3	2	3	5
LOC102546298	4	1	2	0
LOC102546299	0	0	0	0
LOC102577424	0	0	0	0
LOC102577426	0	2	1	0
LOC102606465	220	184	189	180
LOC102606466	0	0	0	0
LOC102659288	0	1	8	4
LOC102723318	0	0	0	0
LOC102723320	0	0	0	0
LOC102723344	0	0	1	0
LOC102723354	550	550	687	612
LOC102723362	0	0	0	0
LOC102723373	152	150	58	39
LOC102723376	0	0	0	0
LOC102723385	6	9	7	5
LOC102723426	0	0	0	0
LOC102723427	0	0	0	0
LOC102723448	0	0	0	0
LOC102723483	3	2	4	1
LOC102723487	0	0	0	1
LOC102723505	0	0	0	1
LOC102723510	7	5	8	3
LOC102723513	1	1	2	3
LOC102723517	0	0	0	0
LOC102723544	0	0	0	0
LOC102723562	0	0	0	0
LOC102723578	0	0	0	0
LOC102723590	1	0	0	0
LOC102723605	0	0	0	0
LOC102723617	0	0	0	0
LOC102723631	0	0	0	0
LOC102723641	0	0	0	0
LOC102723680	0	0	0	0
LOC102723737	0	0	0	0
LOC102723742	0	0	0	1
LOC102723769	118	91	71	68
LOC102723809	0	0	0	0
LOC102723824	0	0	1	1
LOC102723854	1	1	2	4
LOC102723859	0	0	0	0
LOC102723885	2	4	3	3
LOC102723927	2	2	0	1
LOC102724020	0	0	0	0
LOC102724034	0	0	1	0
LOC102724050	1	0	0	1
LOC102724058	0	0	0	0
LOC102724084	3	3	5	6
LOC102724094	0	2	0	0
LOC102724153	0	1	1	0
LOC102724163	1	4	2	1
LOC102724188	0	0	0	0
LOC102724190	14	13	10	9
LOC102724224	1	0	1	1
LOC102724246	6	3	2	3
LOC102724316	974	961	960	844
LOC102724321	0	0	0	0
LOC102724386	6	14	5	1
LOC102724421	0	0	0	0
LOC102724467	38	53	26	26
LOC102724484	0	0	0	0
LOC102724508	1	2	1	1
LOC102724550	11	12	10	13
LOC102724555	0	0	0	0
LOC102724558	0	0	0	0
LOC102724596	2	2	2	2
LOC102724631	0	0	0	0
LOC102724651	0	0	0	0
LOC102724663	0	0	0	0
LOC102724678	0	0	0	0
LOC102724691	0	0	5	3
LOC102724814	244	291	357	289
LOC102724820	0	0	0	3
LOC102724827	113	93	96	115
LOC102724849	0	0	0	0
LOC102724862	0	0	0	0
LOC102724890	0	0	0	0
LOC102724927	6	12	15	11
LOC102724933	0	0	4	1
LOC102724958	0	0	0	0
LOC102800310	14	16	16	13
LOC102800315	0	0	0	0
LOC102800447	1	0	1	0
LOC103021295	0	0	0	0
LOC103091866	51	32	40	24
LOC103171574	3	3	1	2
LOC103191607	2	2	0	2
LOC103312105	0	0	0	0
LOC113230	90	77	158	134
LOC115110	42	43	75	81
LOC143666	29	46	33	39
LOC145474	0	0	0	0
LOC145783	167	155	154	167
LOC145837	1	1	4	4
LOC145845	1	2	3	0
LOC146481	0	0	0	0
LOC146513	0	0	0	0
LOC146880	923	971	1184	972
LOC148413	636	581	558	550
LOC148696	0	0	0	0
LOC148709	102	72	54	52
LOC149373	0	0	0	0
LOC149684	0	0	0	0
LOC149950	0	0	0	0
LOC150381	360	348	295	309
LOC150776	1017	1004	826	759
LOC150935	0	0	0	1
LOC151174	0	0	0	0
LOC151475	2	8	15	12
LOC151484	0	0	0	0
LOC152225	0	0	1	0
